gtex_seq.Subject.ID,gtex_seq.SAMPID_liver,gtex_seq.SAMPID_pancreas
GTEX-1QPFJ,GTEX-1QPFJ-1126-SM-E9U5V,GTEX-1QPFJ-2226-SM-EXOJW
GTEX-O5YT,GTEX-O5YT-0826-SM-3TW8N,GTEX-O5YT-1026-SM-3MJGF
GTEX-OIZF,GTEX-OIZF-0826-SM-3MJGO,GTEX-OIZF-1026-SM-7P8QV
GTEX-OIZF,GTEX-OIZF-0826-SM-3MJGO,GTEX-OIZF-1026-SM-2HML5
GTEX-OIZF,GTEX-OIZF-0826-SM-3MJGO,GTEX-OIZF-1026-SM-2AXUK
GTEX-OOBJ,GTEX-OOBJ-0826-SM-3NB2K,GTEX-OOBJ-1026-SM-3NB2L
GTEX-PWOO,GTEX-PWOO-0826-SM-48TCL,GTEX-PWOO-0626-SM-48TZH
GTEX-PX3G,GTEX-PX3G-0826-SM-48TZS,GTEX-PX3G-1026-SM-48TZW
GTEX-Q734,GTEX-Q734-0326-SM-48U15,GTEX-Q734-0426-SM-48TZX
GTEX-QDVN,GTEX-QDVN-0826-SM-48TZ2,GTEX-QDVN-0926-SM-2I5GL
GTEX-QEL4,GTEX-QEL4-1226-SM-447A4,GTEX-QEL4-1326-SM-447AD
GTEX-QESD,GTEX-QESD-2026-SM-447BI,GTEX-QESD-0226-SM-447BH
GTEX-QV44,GTEX-QV44-0326-SM-C1YQX,GTEX-QV44-0426-SM-4R1KF
GTEX-QV44,GTEX-QV44-0326-SM-4R1KD,GTEX-QV44-0426-SM-4R1KF
GTEX-R53T,GTEX-R53T-0326-SM-48FEC,GTEX-R53T-0426-SM-48FEM
GTEX-RM2N,GTEX-RM2N-1926-SM-48FCU,GTEX-RM2N-0326-SM-48FD8
GTEX-S32W,GTEX-S32W-1926-SM-4AD63,GTEX-S32W-0826-SM-5S2SI
GTEX-S32W,GTEX-S32W-1926-SM-4AD63,GTEX-S32W-0826-SM-4AD5Z
GTEX-S33H,GTEX-S33H-1626-SM-4AD68,GTEX-S33H-1226-SM-4AD69
GTEX-S4Z8,GTEX-S4Z8-0526-SM-4AD4T,GTEX-S4Z8-1126-SM-4AD5C
GTEX-TKQ2,GTEX-TKQ2-1726-SM-4DXUP,GTEX-TKQ2-0426-SM-4DXUO
GTEX-U8XE,GTEX-U8XE-1526-SM-4E3HT,GTEX-U8XE-2026-SM-3DB8S
GTEX-UPIC,GTEX-UPIC-0926-SM-4IHLV,GTEX-UPIC-0726-SM-3GADW
GTEX-VUSG,GTEX-VUSG-0126-SM-4KL1X,GTEX-VUSG-0326-SM-3GIJ7
GTEX-VUSG,GTEX-VUSG-0126-SM-4KL1X,GTEX-VUSG-0326-SM-5S2ST
GTEX-WFON,GTEX-WFON-1726-SM-4LVMQ,GTEX-WFON-0626-SM-4LVLX
GTEX-WFON,GTEX-WFON-1726-SM-4LVMQ,GTEX-WFON-0626-SM-5S2SX
GTEX-WQUQ,GTEX-WQUQ-1926-SM-4OOSA,GTEX-WQUQ-2126-SM-4OOSO
GTEX-WY7C,GTEX-WY7C-0726-SM-4ONCB,GTEX-WY7C-1026-SM-4OND3
GTEX-WYVS,GTEX-WYVS-1926-SM-4PQZ2,GTEX-WYVS-0926-SM-4SOJV
GTEX-WYVS,GTEX-WYVS-1926-SM-4SOIC,GTEX-WYVS-0926-SM-4SOJV
GTEX-X3Y1,GTEX-X3Y1-2726-SM-4PQZH,GTEX-X3Y1-0726-SM-3P5YU
GTEX-XXEK,GTEX-XXEK-1126-SM-4BRUX,GTEX-XXEK-1726-SM-4BRVB
GTEX-XXEK,GTEX-XXEK-1126-SM-4BRUX,GTEX-XXEK-1726-SM-5S2SR
GTEX-Y5LM,GTEX-Y5LM-0426-SM-4VBRO,GTEX-Y5LM-0526-SM-4V6G3
GTEX-Y5V5,GTEX-Y5V5-0926-SM-4VBPZ,GTEX-Y5V5-1026-SM-5LUAH
GTEX-YB5E,GTEX-YB5E-0326-SM-5IFHU,GTEX-YB5E-0526-SM-4VDSD
GTEX-YEC4,GTEX-YEC4-0826-SM-5P9FV,GTEX-YEC4-1326-SM-5IFHG
GTEX-ZAB4,GTEX-ZAB4-0826-SM-5LU9D,GTEX-ZAB4-1726-SM-5HL8C
GTEX-ZAB5,GTEX-ZAB5-0426-SM-5CVMI,GTEX-ZAB5-0826-SM-5P9FU
GTEX-ZEX8,GTEX-ZEX8-0826-SM-4WKHK,GTEX-ZEX8-1026-SM-4WKHE
GTEX-ZF29,GTEX-ZF29-2026-SM-4WWB7,GTEX-ZF29-1126-SM-4WKGO
GTEX-ZF29,GTEX-ZF29-2026-SM-DNZYW,GTEX-ZF29-1126-SM-4WKGO
GTEX-ZF2S,GTEX-ZF2S-3026-SM-4WWCH,GTEX-ZF2S-0426-SM-4WKGP
GTEX-ZPU1,GTEX-ZPU1-0826-SM-57WG2,GTEX-ZPU1-0226-SM-4WWC9
GTEX-ZPU1,GTEX-ZPU1-0826-SM-73KXI,GTEX-ZPU1-0226-SM-4WWC9
GTEX-ZPU1,GTEX-ZPU1-0826-SM-7DHMN,GTEX-ZPU1-0226-SM-4WWC9
GTEX-ZTPG,GTEX-ZTPG-1426-SM-51MT3,GTEX-ZTPG-1026-SM-5DUWP
GTEX-ZVP2,GTEX-ZVP2-0626-SM-51MSO,GTEX-ZVP2-0726-SM-59HKY
GTEX-ZYT6,GTEX-ZYT6-0626-SM-5E45V,GTEX-ZYT6-1326-SM-5E453
GTEX-ZYY3,GTEX-ZYY3-0626-SM-5NQ6W,GTEX-ZYY3-0826-SM-5E44R
