Name ENSG00000113578.17 ENSG00000163958.13 ENSG00000219607.3 ENSG00000197632.8 ENSG00000275894.1 ENSG00000152760.9 ENSG00000227560.1 ENSG00000132002.7 ENSG00000144488.14 ENSG00000187545.5 ENSG00000149972.10 ENSG00000158050.4 ENSG00000197261.11 ENSG00000279903.1 ENSG00000136002.18 ENSG00000124466.8 ENSG00000276337.1 ENSG00000145391.13 ENSG00000101210.10 ENSG00000224982.3 ENSG00000267060.5 ENSG00000139517.7 ENSG00000101443.17 ENSG00000182173.12 ENSG00000204388.6 ENSG00000110848.8 ENSG00000151725.11 ENSG00000249138.1 ENSG00000211694.2 ENSG00000171724.2 ENSG00000122691.12 ENSG00000106128.18 ENSG00000223922.1 ENSG00000183876.8 ENSG00000270742.1 ENSG00000204389.9 ENSG00000165841.9 ENSG00000279691.1 ENSG00000228951.1 ENSG00000172061.8 ENSG00000277632.1 ENSG00000221946.7 ENSG00000243477.5 ENSG00000276564.1 ENSG00000102802.9 ENSG00000258884.1 ENSG00000278743.1 ENSG00000112149.9 ENSG00000197406.7 ENSG00000127831.10 ENSG00000109846.7 ENSG00000183196.8 ENSG00000260325.1 ENSG00000226419.7 ENSG00000231784.8 ENSG00000269119.1 ENSG00000133116.7 ENSG00000163734.4 ENSG00000151789.10 ENSG00000283426.1 ENSG00000214544.7 ENSG00000272610.1 ENSG00000248503.2 ENSG00000122861.15 ENSG00000245904.3 ENSG00000133111.3 ENSG00000093009.9 ENSG00000100884.9 ENSG00000256377.5 ENSG00000240457.3 ENSG00000138131.3 ENSG00000104237.7 ENSG00000188517.14 ENSG00000266378.1 ENSG00000250616.2 ENSG00000232909.1 ENSG00000154654.14 ENSG00000224846.2 ENSG00000184564.8 ENSG00000145335.15 ENSG00000149090.11 ENSG00000153234.13 ENSG00000182916.7 ENSG00000163590.13 ENSG00000161055.3 ENSG00000275494.1 ENSG00000146453.12 ENSG00000175691.8 ENSG00000171517.5 ENSG00000130222.10 ENSG00000261040.6 ENSG00000180139.11 ENSG00000125245.12 ENSG00000258498.8 ENSG00000183317.16 ENSG00000144283.21 ENSG00000272523.1 ENSG00000066279.17 ENSG00000179967.11 ENSG00000272573.5 ENSG00000278546.1 ENSG00000196562.14 ENSG00000015133.18 ENSG00000270028.1 ENSG00000158234.12 ENSG00000134986.13 ENSG00000267632.1 ENSG00000104147.8 ENSG00000260136.5 ENSG00000182771.18 ENSG00000260804.3 ENSG00000181634.7 ENSG00000131747.14 ENSG00000138778.11 ENSG00000275759.1 ENSG00000269374.1 ENSG00000161642.17 ENSG00000165507.8 ENSG00000154864.11 ENSG00000205502.3 ENSG00000108700.4 ENSG00000225177.5 ENSG00000213793.5 ENSG00000163701.18 ENSG00000272449.1 ENSG00000265972.5 ENSG00000043591.5 ENSG00000198805.11 ENSG00000184113.9 ENSG00000245482.2 ENSG00000134775.15 ENSG00000279463.1 ENSG00000171425.9 ENSG00000141682.11 ENSG00000174145.7 ENSG00000083828.15 ENSG00000075399.13 ENSG00000237700.2 ENSG00000168070.11 ENSG00000204160.11 ENSG00000125538.11 ENSG00000267368.1 ENSG00000197487.8 ENSG00000236498.1 ENSG00000172469.15 ENSG00000234584.1 ENSG00000149968.11 ENSG00000177051.5 ENSG00000189050.15 ENSG00000277782.1 ENSG00000273338.1 ENSG00000173110.7 ENSG00000158292.6 ENSG00000134323.11 ENSG00000177606.6 ENSG00000160226.15 ENSG00000240093.1 ENSG00000137265.14 ENSG00000179295.17 ENSG00000140511.11 ENSG00000215859.8 ENSG00000248590.2 ENSG00000124469.11 ENSG00000268873.1 ENSG00000108691.9 ENSG00000148948.7 ENSG00000128342.4 ENSG00000204498.10 ENSG00000266964.5 ENSG00000251596.1 ENSG00000242220.6 ENSG00000131355.14 ENSG00000214226.8 ENSG00000117724.12 ENSG00000214039.8 ENSG00000203709.11 ENSG00000103241.6 ENSG00000254622.1 ENSG00000267270.5 ENSG00000279932.1 ENSG00000278462.1 ENSG00000160888.6 ENSG00000188162.10 ENSG00000150510.16 ENSG00000054967.12 ENSG00000105516.10 ENSG00000165949.12 ENSG00000254206.5 ENSG00000106211.8 ENSG00000200336.1 ENSG00000164236.11 ENSG00000161800.12 ENSG00000231948.2 ENSG00000196843.15 ENSG00000278071.1 ENSG00000283436.1 ENSG00000012223.12 ENSG00000174891.12 ENSG00000250786.1 ENSG00000163959.9 ENSG00000226276.1 ENSG00000158552.12 ENSG00000104921.14 ENSG00000198826.10 ENSG00000011478.11 ENSG00000088826.17 ENSG00000236194.3 ENSG00000276070.4 ENSG00000272384.1 ENSG00000146556.14 ENSG00000250673.2 ENSG00000105374.9 ENSG00000236478.2 ENSG00000257252.5 ENSG00000096060.14 ENSG00000232656.7 ENSG00000274386.5
GTEX-11EQ9-0526-SM-5A5JZ 0.3895 1.444 0.1316 0.02667 1.118 0.2766 0.602 37.68 0.3558 0.5966 0.03522 0.765 0.9 0.247 0.1344 0.8489 0.2641 16.4 111.9 0.1773 0 20.16 11.87 9.896 5.786 0.8429 2.107 0.4299 0.2293 0.1348 0.1706 0.3648 0.432 0.1526 0 15.74 12.91 0 0.08934 0.05929 1.799 0.3923 3.253 0.2931 0.3091 0.9172 0.2052 0.5135 0.3351 3.954 7.41 0.01482 1.909 0.4006 0.0466 0 0.06385 0.3703 0.02155 3.457 0.1118 0.2368 0.06277 1.847 0.04444 1.769 1.387 0.08426 0.03972 0 17.17 0.00431 0.0918 0.05486 0.4348 0.8335 0.07705 0.8251 0.08156 0.1435 3.609 0.7916 0.4987 1.893 1.634 4.342 0.0831 1.349 0.01657 84.74 0.1398 0.3411 0.06153 2.265 0.03712 11.44 1.481 0.7872 0.6595 13.6 0.332 31.37 1.051 0.5182 5.758 0.8309 1.366 1.379 1.891 0.1973 1.072 0.04464 3.394 0.3151 1.094 1.048 3.287 60.86 1.933 0.316 0.0931 4.123 1.312 2.75 1.297 243.2 0.1029 16.9 4.981 0.05808 0.4828 0.06551 7.354 0.1958 0 1.579 12.03 0.3287 0.05329 7.127 0.362 10.02 0.09387 0.6126 10.76 0.4847 0.05823 4.9 16.69 0.3772 0.1404 1.003 18.74 0.8685 34.26 7.15 0.1534 0.3832 35.29 0.3367 0.1451 0.3507 0.04602 0.3784 9.069 0.1589 0.555 10.02 76.77 0.01285 1.005 0 0.9451 0.6277 0.04015 0.4821 2.838 0 0.2814 0 0.2207 23.08 0.01419 0.2321 0.8713 3.407 6.672 0.6473 73.8 0 0.07515 2.751 18.15 14.86 1.624 0.121 0.4155 3.29 2.287 31.02 0 18.93 0.08985 1.35 5.997 5.041 0.1962 0.3572 0.2232 2.963 0.07792 2.731 0 0.3054 59 0.4649 0.08818
GTEX-11GSP-0626-SM-5986T 0.3177 4.382 5.654 0.0282 41.67 1.673 5.73 239.8 0.5962 0.0407 0.0149 7.281 0.3598 3.657 0.1066 0.8427 9.029 3.993 0.6653 0.1282 0.2597 3.622 0.9656 11.61 304 5.026 0.4243 27.07 0.6668 0.3601 0.4265 0.07715 2.461 0.2753 2.311 367.6 131.1 1.07 0.09448 0.03135 19.12 0.7542 6.927 3.125 0.7974 0.08082 1.248 5.899 0.1476 10.64 8.184 0.03919 2.68 0.2866 0.02464 0.06554 0.01228 2.098 0.03646 7.833 0.1083 0.593 0.5044 2.685 0.1196 1.925 0.2018 0.6039 0.5459 0.6355 1.374 0 1.403 0.7251 0.3908 0.09278 0.1444 0.2493 0.345 0.3624 4.277 40.73 2.215 0.5884 1.37 6.858 0.08788 1.987 0 236.8 0.2463 5.853 0.2603 4.104 0.0157 6.627 2.491 0.114 2.999 23.64 2.879 8.659 3.315 1.196 1.442 3.781 0.3853 0.2431 1.856 0.3239 0.1577 0.07868 0.3906 0.0544 0.6312 1.108 3.778 41.11 1.662 3.538 0.1969 6.669 0.4056 4.702 2.555 43.3 0.9899 21.93 2.887 0.04094 0.8365 2.217 6.399 0.3253 0.007456 1.712 16.93 0 0.2113 6.451 0.2112 12.28 0 2.002 2.238 2.164 0.1232 8.967 5.072 0.6383 9.058 8.142 0.4486 0.4413 459.3 11.38 0.1622 0.6893 6.035 0.7403 0.1841 0.1275 0.073 0 17.09 0.3708 4.678 10.43 163.5 0.6386 0.6254 0.0547 3.106 0.1381 0 0.4334 5.358 0 3.118 1.489 1.517 99.05 0.006003 0.4353 1.382 10.46 8.611 5.801 444 0 0.1624 0.7905 2.276 20.82 12.54 0 0.6119 1.463 2.259 30.41 1.638 26.33 0.7284 0.2033 5.668 1.412 0.04149 0.1555 0.118 3.373 1.291 16.26 0 0.1076 3.56 21.36 0.1148
GTEX-11TT1-1726-SM-5EQLJ 0.1349 1.428 0.9476 0.582 1.807 0.6259 0.7299 56.6 0.8229 0.06223 0 1.096 0.692 1.198 0.6788 5.798 1.044 11.42 7.025 13.27 0.3474 12.71 17.78 14.52 16.28 0.8489 1.552 0 0 0.1147 0.4514 0.08424 0.7371 0.3483 0 50.68 3.459 0 0 0.08786 3.367 0.173 10.05 0.4739 2.818 0.3707 0.4147 1.415 32.39 3.441 12.24 1.408 1.382 0.2191 0.07534 0 0.244 0.4918 0.04528 4.676 0.07529 0.1209 0.08117 3.896 0.09144 1.893 0.8432 0.06054 0.1926 0 7.684 0.006967 0.2078 0.5543 0.5975 0.07092 0.0453 0 0.02198 0.335 1.383 13.46 1.129 2.165 0.7285 3.11 0.1791 4.283 3.991 100.9 0.2259 0.5159 0.1492 4.374 0.012 9.724 3.373 0.122 2.132 12.89 1.503 12.12 3.359 0.6854 8.349 1.471 1.06 1.177 3.129 0.1175 1.115 0.06014 0.4519 0.07277 1.126 3.05 2.851 7.215 0.5104 5.98 0.3763 6.585 0.2394 0.4543 2.572 132 0.03326 145.9 9.658 0.09389 0.3385 0 8.318 1.04 0.0114 3.022 35.24 0.06251 0.2369 10.96 2.2 6.824 0.1012 0.1801 8.589 1.567 10.43 12.75 17.45 1.586 0.454 20.33 2.522 5.616 88.92 5.577 0.6613 21.65 43.72 0.4011 0.1642 0.248 0.0558 0 29.54 0.08859 5.293 16.69 49.29 0.1662 1.1 0.01672 0.9911 0.2313 0 0.6421 1.417 0.241 1.551 0.2069 0 72.96 0.009177 0.8991 5.548 1.114 19.88 1.187 988.2 0 0.132 2.851 5.931 15.49 1.832 0.2689 1.175 3.587 0.2918 40.94 0.5008 21.7 0.09683 0.5382 14.09 134.2 0.1269 1.019 0.1203 4.226 0.5249 10.35 0.08346 0 37.96 1.503 0.07676
GTEX-12WSD-1426-SM-5GCN9 0.2172 2.873 26.66 0.04338 22.27 6.862 2.938 133.3 0.9141 1.44 0.03056 38.48 0.6427 7.448 0.08743 0.5261 0.5648 8.228 0.8726 0.2226 0.4661 6.266 0.5988 11.89 168.5 26.97 1.399 21.32 1.678 0.6616 0.3028 0 0.3904 0.4089 2.099 224.1 28.48 1.254 0.04844 0.08573 25.26 1.122 6.349 1.629 0.4424 0.4144 0.779 4.214 0.06057 21.86 6.12 0.01608 3.875 0.607 0.01263 0 0.2392 1.979 0.02337 8.416 0.4343 0.7568 0.3131 2.441 0.149 1.56 0.4691 0.264 0.1292 0 1.709 0.004674 0.677 0.3123 0.4951 0.2379 1.242 0.2556 0.1622 0.8039 6.133 35.76 1.514 1.107 0.6109 8.046 0.0751 1.319 0.02695 1162 0.05052 8.533 1.084 1.432 0.02415 11.83 3.285 0.2923 4.148 14.82 0.8641 9.178 3.486 1.073 2.8 4.791 0.6322 0.6233 1.855 0.5349 0.3438 0.07262 1.05 0.1883 0.9171 2.273 6.167 33.14 1.199 1.109 0.05048 11.76 0.27 4.212 2.652 64.85 0.1227 34.84 5.569 0.126 0.7254 2.7 5.029 0.9553 0.08793 1.962 17.08 1.258 0.3323 8.841 0.4061 31.54 0 0.302 3.945 3.504 0 7.144 7.581 0.9 1.066 2.43 1.037 0.2936 225.3 12.64 0.1663 7.711 13.87 0.8745 0.5192 0.2615 0.07486 0 10.11 0.1248 0.6018 15.36 345.7 0.08361 2.293 0.01122 2.271 0.3267 0.04354 0.464 4.101 0.512 1.63 3.608 1.077 28.31 0.003078 0.4132 1.35 6.397 21.09 5.247 165.6 0 0.1594 1.165 4.456 14.77 6.677 0 1.175 2.081 2.398 48.11 0.9238 22.61 0.9743 0.3763 4.656 1.145 0.5531 3.326 0.3227 4.177 0.4084 33.15 0.08398 0.1104 5.277 4.538 0.08827
GTEX-12WSG-0626-SM-5FQTQ 0.3142 1.694 11.54 0 3.879 0.7709 2.17 38.79 0.5524 0.7631 0.02539 8.69 1.306 7.539 0.09686 1.52 3.376 10.04 1.74 0.05604 0.6086 9.831 2.424 15.6 6.015 4.25 1.653 3.334 0.551 0.3836 0.2423 0.08765 0.3748 0.4854 0.07503 38.8 1.718 0.5211 0.2147 0.4393 3.412 0.2571 7.162 0.7777 0.9655 2.204 0.7398 1.528 3.171 2.566 29.04 0.01781 2.367 0.3115 0.05599 0.1489 0.09067 0.8581 0.02589 8.053 0.06714 0.3893 0.3771 2.514 0.08252 1.911 0.2904 0.08998 0.1909 0.361 13.65 0 0.943 0.3296 0.7052 0.05271 0.07574 0.1416 0.245 0.3352 2.159 21.58 1.138 1.963 0.5415 2.773 1.564 2.633 0.2488 272.3 0 1.137 0.3142 5.36 0.0892 11.18 4.367 0.06802 2.932 30.41 1.675 14.82 2.912 0.3962 6.108 0.7996 0.8099 0.6905 1.839 0.7423 0.7393 0.0447 0.2579 0.1198 0.7172 2.519 4.936 50.24 1.685 1.407 0.05593 5.337 0.4932 1.025 1.947 18.91 0.5809 26.25 4.371 0.04652 0.8316 0.551 6.686 0.6384 0.05506 4.071 34.32 0.04646 0.1281 10.9 0.9599 24.17 0.03759 0.6691 4.8 0.2588 1.749 8.475 10.78 2.629 1.35 2.573 3.395 0.05421 309.8 4.896 0.4915 7.928 30.96 0.8092 0.2266 0.4609 0.04147 0.3247 3.34 0.2765 1.495 18.22 126.9 0.247 0.8882 0.348 1.887 0.09653 0 0.5488 9.367 0.1493 0.4226 1.23 0.2651 29.84 0.04092 0.463 3.557 0.9556 13.1 1.05 436.7 4.21 0.08243 2.598 2.762 18.97 2.405 0.109 1.257 4.313 1.301 18.14 0 27.6 0.6297 0.3099 5.314 24.09 0.1414 0.7572 0.7151 5.361 0.1872 4.601 0 0 24.59 1.781 0.08964
GTEX-12WSL-0226-SM-5CVMJ 0.05389 0.987 0.8472 0.06457 0.3007 0.3482 0.1822 32.53 0.03313 16.38 0.008528 2.168 0.1595 0.2393 0.07727 0.6083 0.2043 13.59 1.63 0.1581 0.09292 19.77 5.965 9.562 6.709 1.221 0.7113 0.3785 0.2776 0.1546 0.1502 0.1262 0.3777 0.04348 0.1512 10.1 5.61 0 0.3786 0.01196 0.6877 0.04317 2.271 0.207 0.2694 1.48 0.2485 0.4238 0.2028 4.337 3.541 0.03589 1.109 0.3031 0.08463 0.03752 0.05622 0.7686 0.253 2.648 0.1015 0.2414 0.03039 0.2795 0.04402 1.757 0.4774 0.02267 0.1923 0 10.15 0.002609 0.1445 0.249 0.5264 0.8498 0.03392 0 0.04937 0.00965 0.3955 1.514 0.3019 3.231 0.5456 2.994 0.1006 1.443 0.2307 62.84 0.1692 0.826 0.1676 1.534 0.02696 14.32 1.141 0.1208 1.757 10.6 0.7235 22.26 0.9348 0.4563 5.631 0.7008 0.5073 0.5566 2.343 3.633 1.163 0.01351 0.1692 0.04671 1.084 0.2538 3.342 25.52 3.374 0.3375 0 4.337 0.6518 0.6562 2.497 140.6 0.1121 15 2.228 0.04687 0.1408 0 5.32 0.1016 0.004268 1.416 12.94 6.671 0.1613 7.471 0.2116 3.495 0.1515 0.1348 14.32 0.3912 0.1939 7.729 15.74 0.7307 0.34 1.229 7.947 0 13.27 7.227 0 2.801 31.62 0.4184 0.281 0.544 0.04178 3.337 2.268 0.01327 0.1536 11.29 22.37 0 0.5191 0 1.361 0.08206 0 1.182 0.4244 0.06017 0.09291 0.1033 0 16.28 0.0378 0.1856 0.592 1.139 5.466 1.68 35.62 0.5303 0.05537 1.3 4.974 11.3 1.966 0.03661 0.3593 2.617 1.93 13.75 0 17.91 0.145 0.6301 4.693 1.471 0 0.2543 0.2252 2.658 0.1415 3.762 0.03125 0.1232 41.16 1.759 0.0739
GTEX-131XE-0326-SM-5LZVO 0.7974 1.025 2.77 1.871 5.683 0.2503 1.817 1108 0.2477 0.5807 0 15.21 50.47 1.565 0.1824 1.046 1.04 9.55 8.52 1.492 0.3242 12.02 19 14.42 847.4 11.59 0.6486 5.601 1.124 1.027 0.2106 0.03145 0.9775 0.5147 0.1884 1562 3.574 2.836 0 0.1789 16 0.9146 3.104 0.8845 3.6 0.3459 0.7741 17.04 2.001 1.908 63.27 0.08387 2.304 0.5466 0.1406 0.04676 0.05255 8.241 0.07802 2.555 0.08431 0.4136 0.5871 10.51 0.3109 2.938 0.1919 0.4237 0.2397 6.045 6.577 0.013 0.4709 0.538 0.6888 0.5295 0.2483 0.7113 0.1436 0.8298 4.154 10.88 0.7524 2.088 0.9349 3.814 23.61 2.289 0.02499 139.5 0.2811 1.229 0.6266 3.815 0.028 7.742 4.672 0.06507 5.075 16.15 1.402 19.68 2.612 0.4975 4.621 2.531 0.6322 0.9827 1.562 0.1332 1.013 0.6174 0.2109 0.08246 1.126 1.581 17.72 50.73 1.409 4.739 0.3511 6.035 0.8427 0.9389 2.178 89.26 0.2173 113.7 8.794 0.1168 0.4914 0.3953 8.063 1.561 0.1383 5.158 19.06 0.2334 0.0804 13.93 17.46 16.66 0 2.857 6.829 3.737 3.602 9.309 14.29 0.4553 5.296 1054 1.041 0.03403 461.3 6.256 0.2314 1.209 22.6 3.249 0.1751 0.08267 0.3298 0.3262 116.1 0.339 20.35 14.76 78.44 2.21 1.093 2.06 7.592 0.1136 0 0.9343 7.909 0 7.623 0.3862 0.6658 70.94 0.008565 0.7862 8.088 1.52 17.64 2.557 1797 0 0.4535 1.04 2.214 20.57 2.849 0 1.757 2.674 3.223 10.62 0 20.11 1.852 0.3466 9.323 13.99 0.5328 3.043 0.3928 4.286 0.1567 16.86 0.07789 0.1024 12.18 7.146 0.0614
GTEX-132AR-0426-SM-5IFH8 0.2261 1.011 0.3907 0.1935 0.9613 0.562 0.983 197.2 0.8898 8.715 0.01022 0.8076 2.358 1.076 0.09264 0.8047 0.1704 22.94 110.1 0.2031 0.1782 26.73 14.39 15.35 248.2 0.4613 2.579 0.1702 0 0.2059 0.2702 0.4084 0.418 0.09122 0 509.6 12.69 0.6295 0.1297 0.1147 4.947 0 2.547 0.5673 0.646 4.326 0.4468 4.201 1.256 0.7915 91.65 0.05379 2.194 0.9278 0.1184 2.069 0.1517 2.803 0.04066 3.277 0.1757 0.3256 0.164 7.937 0.09383 2.309 0.9232 0.08153 0.05764 0.2908 68.95 0.006255 0.06662 0.2787 0.4733 1.592 0.02033 0.1711 0.03946 0.6247 5.69 2.631 1.122 3.279 0.4088 2.313 4.805 3.216 0.07214 61.71 0.3381 0.4313 0.3795 3.444 0.1778 18.65 2.345 0.2974 2.393 8.737 1.253 28.92 1.872 0.7521 10.8 1.732 1.692 1.78 2.221 0.1582 2.896 0.3402 1.311 0.2053 0.6498 2.738 5.775 102.7 2.5 1.592 0.4729 6.447 2.774 1.457 1.625 250.7 0.08959 46.11 9.839 0.1967 0.4896 0 15.13 1.197 0.01023 3.888 30.83 0.6454 0.2127 13.74 4.258 10.73 0.1817 0.8891 7.892 3.908 26.48 11.67 21.63 0.5475 0.6115 60.71 3.131 0.2619 94.8 6.356 0.07421 10.01 34.52 1.492 0.4843 0.4295 0 2.04 54.83 0.2386 7.974 20.82 26.99 0.1865 0.9442 0.03003 2.855 0.4883 0 2.225 2.75 0.1082 2.274 0.2477 0.1601 39.49 0.03708 0.4449 3.291 1.424 11.94 2.17 855.7 0 0.4078 3.223 7.029 21.52 3.673 0.395 1.518 4.146 2.489 21.41 0.1124 29.96 0.4129 0.6057 9.158 15.88 0.2847 0.3659 0.6479 6.678 0.0377 4.237 0.03747 0.04925 18.25 3.585 0.1575
GTEX-1399R-1226-SM-5P9GF 0.4777 1.059 0.4132 0.01789 0.4998 2.953 0.2019 42.59 0.525 0.1033 0.009449 1.341 1.031 0.2651 0.1465 0.7205 0.06888 13.38 0.6182 0.06257 0.1235 7.986 1.795 7.175 22.86 1.844 2.595 1.153 0.2691 0.4616 0.1353 0.02097 5.714 0.3914 0 58.36 16.37 0.09697 0 0.02651 5.398 0.2392 4.069 0.4588 0.1161 0.7177 0.1032 1.456 0.1311 2.413 6.09 0.01492 2.94 0.1561 0.1016 0 0.08955 0.3016 0.1792 5.726 0.08746 0.1421 0.1095 1.007 0.05962 1.238 0.4949 0.5903 0.1865 0 1.085 0.002891 0.3848 0.1656 0.2625 0.6768 0.3688 0 0.31 0.2673 4.711 0.5657 0.8195 1.472 2.683 4.313 0.2508 1.22 0.04445 94.7 0.06249 0.251 0.196 1.296 0.03486 10.95 2.167 1.539 0.7963 15.21 0.3563 19 1.206 2.054 3.776 4.382 0.5865 2.287 1.661 1.529 1.626 0.07236 6.421 0.6815 1.101 2.109 5.245 55.04 2.141 0.3865 0.09367 4.823 0.3611 4.659 1.502 107.6 0.2829 28.95 6.303 0.07791 0.4291 0.04394 6.695 0.4783 0.06148 1.488 16.93 0.1037 0.3217 8.532 0.2345 11.9 0.6506 0.1494 8.239 0.614 0 6.312 11.97 0.9109 0.6593 1.727 4.008 0.8549 16.35 5.767 0 0.524 18.89 0.2675 0.09731 0.3234 0.1235 0.07251 1.336 0.3234 0.5956 11.15 238 0.04309 1.815 0.0902 0.9252 1.499 0.03591 0.3657 1.008 0.1 0.7679 0.1717 0 10.43 0.01142 0.3848 0.817 14.96 15.33 1.338 204.4 0 0.1687 3.14 11.65 10.52 1.343 0.2028 1.13 2.776 4.783 25.87 0.2078 18.25 0.6528 1.79 7.016 2.225 0.06579 0.775 0.7485 3.168 0.1219 12.21 0 0.1821 12.15 1.696 0.04549
GTEX-139YR-0226-SM-5IFEM 0.2007 4.776 0.7996 0.08489 3.382 0.1526 1.916 121.1 0.1626 0.1225 0 8.486 0.2096 0.5243 0.8412 0.6434 0.2024 9.129 15.04 0.1287 0.06515 17.54 41.8 12.55 90.06 9.002 1.019 2.322 0.1825 0.6248 0.06584 0.7741 0.1782 0.2477 0 179 4.684 0.767 0.237 0.01049 7.835 0.1514 2.504 0.324 0.1968 0.6488 0.1089 1.969 1.807 2.74 6.285 0.01573 2.139 0.2344 0.1113 0 0.06159 2.344 0.06859 4.716 0.168 0.2248 0.2531 1.745 0.1629 2.404 0.6074 0.07947 0.1264 0.2126 64.83 0.009146 0.3068 1.019 0.6459 0.5586 0.0223 0 0.1442 0.4398 2.847 2.936 1.323 2.389 1.435 1.516 0.8377 1.303 0.05274 126.1 0.09886 0.5254 0.1632 9.638 0.04333 9.684 2 0.1573 1.749 6.318 1.55 19.87 1.473 0.8997 4.646 0.7145 0.6572 0.6911 2.913 0.1598 0.9101 0.1224 0.9003 0.0887 1.531 1.557 4.565 166.1 1.562 2.84 0.2963 4.374 1.007 1.15 2.22 91.99 0.1419 32.79 7.338 0.04108 0.3518 0.06951 9.115 0.5044 0.007481 1.93 18.77 0.1231 0.1414 9.469 1.96 6.869 0.2656 0.4136 6.436 0.5714 0.03089 8.658 8.861 0.3202 1.043 5.621 1.953 0 57.74 9.122 0 5.385 17.34 1.655 0.2309 0.09303 0.1709 3.613 99.92 0.1395 2.709 19.51 60.12 0.08181 0.8628 0.1537 2.792 0.2344 0 0.6628 2.71 0 0.95 0.09053 0.3512 53.64 0.0512 0.2974 2.16 0.6048 34.78 0.701 241.2 0 0.1109 1.502 0.9861 12.55 4.128 0.03209 3.944 2.205 6.48 21.11 0.4108 25.99 0.3337 0.5174 6.971 4.038 0.04163 0.9362 0.2763 4.605 0.1102 12.16 0.05478 0.36 18.18 2.497 0.06477
