"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000113578.17",42.0666038486988,1.19514769352108,0.215899982429174,5.53565442698983,3.10068393844841e-08,0.000431146223334959
"ENSG00000163958.13",112.400771268774,1.31591106047855,0.238849506679018,5.50937315624002,3.60113780192072e-08,0.000431146223334959
"ENSG00000219607.3",440.009553358545,2.49624163418421,0.465989479615048,5.35686264043202,8.46794466078937e-08,0.000675883116342005
"ENSG00000197632.8",11.7742616876742,3.05246458428781,0.579039014362702,5.2716043454298,1.35236365824348e-07,0.000809558694916006
"ENSG00000275894.1",141.929022420745,2.54727347515271,0.492550610275684,5.1715974399605,2.32101187015675e-07,0.00111153258461807
"ENSG00000152760.9",161.962274963294,2.09560483014495,0.415989930502906,5.03763354947437,4.71322694533675e-07,0.00166159869075838
"ENSG00000227560.1",19.6940654145077,2.18711329735416,0.43510606871067,5.02662098884331,4.99197581565319e-07,0.00166159869075838
"ENSG00000132002.7",12713.7508343354,1.76501908757243,0.352566333593118,5.00620427816959,5.55138422470956e-07,0.00166159869075838
"ENSG00000144488.14",161.21796542401,1.93378125562756,0.392974477354131,4.92088256888226,8.61548149442428e-07,0.00223405289668158
"ENSG00000187545.5",37.1106791508038,-3.08878583457045,0.630616288917583,-4.89804321399971,9.67957502297784e-07,0.00223405289668158
"ENSG00000149972.10",2.88648165615676,3.125356214865,0.639586155459054,4.88652887212954,1.02629283205251e-06,0.00223405289668158
"ENSG00000158050.4",266.25983495201,2.1135708988021,0.434272041208182,4.86692832658987,1.1334611160959e-06,0.00226172720207637
"ENSG00000197261.11",233.984342188245,2.34070025712313,0.485306226999938,4.82314078595869,1.41315150626796e-06,0.00257550653022449
"ENSG00000279903.1",24.9139591145462,2.03907740974766,0.423884036287499,4.81046049199328,1.50582966895564e-06,0.00257550653022449
"ENSG00000136002.18",137.451580084775,2.07139573170178,0.433560184823276,4.77764288375812,1.77362014022042e-06,0.00281538813170965
"ENSG00000124466.8",80.3995206514424,1.79350451993678,0.376329625764472,4.76578083985142,1.88123658832134e-06,0.00281538813170965
"ENSG00000276337.1",133.346505614092,1.96908965866041,0.416672976136956,4.72574362013147,2.29274773424884e-06,0.00290562441420783
"ENSG00000145391.13",4706.22875323052,-0.495335637017895,0.104858010920959,-4.72387023811919,2.31398096462129e-06,0.00290562441420783
"ENSG00000101210.10",404.045708050546,-2.49261664738137,0.528335714161571,-4.71786513871576,2.38332390414845e-06,0.00290562441420783
"ENSG00000224982.3",49.7623712166962,2.12884219390802,0.452327558942124,4.70641717892854,2.52108339853338e-06,0.00290562441420783
"ENSG00000267060.5",11.0869076644314,1.22335022102886,0.260482341956145,4.69648042873794,2.64682583042374e-06,0.00290562441420783
"ENSG00000139517.7",1810.62889439474,-0.859370486439684,0.183050081747602,-4.69472877714758,2.66960689549269e-06,0.00290562441420783
"ENSG00000101443.17",304.762250165992,-2.28813500307839,0.489479544327673,-4.6746284489197,2.94486275930818e-06,0.00306585820746236
"ENSG00000182173.12",860.282266056507,0.343763179496343,0.0740962877246012,4.63941163657255,3.49402489458096e-06,0.00335452580814571
"ENSG00000204388.6",9406.96693758828,2.32652424410293,0.501522680800247,4.63892129542505,3.50232387570026e-06,0.00335452580814571
"ENSG00000110848.8",219.429256039094,1.84934243416395,0.402547708039537,4.59409505315657,4.34631244530197e-06,0.00391759185554391
"ENSG00000151725.11",195.951064970895,-1.87333798135216,0.408071541869558,-4.59070968970187,4.41741407808251e-06,0.00391759185554391
"ENSG00000249138.1",131.480665222481,2.8390915933313,0.621115008945389,4.57095956858598,4.85495955537784e-06,0.00415185737691151
"ENSG00000211694.2",6.81510906768445,1.97060035538195,0.432265085917666,4.55877751773202,5.14522420368785e-06,0.00424835839852778
"ENSG00000171724.2",45.8408069787188,1.21208420564931,0.268482809004892,4.51456914556949,6.34456197701629e-06,0.00503150726499581
"ENSG00000122691.12",11.4507097805703,1.31255535070109,0.291097965988803,4.50898152531778,6.51395803778952e-06,0.00503150726499581
"ENSG00000106128.18",22.7703036253615,-2.46538258467478,0.549017980047628,-4.49053159326568,7.10456356326085e-06,0.00531621170382128
"ENSG00000223922.1",49.9431850136211,1.69409413194412,0.380312997910519,4.45447339757427,8.40993553727703e-06,0.0061023001951545
"ENSG00000183876.8",33.8910127933626,1.32434226063516,0.297851864916185,4.44631179666385,8.73571302844886e-06,0.00615225436665318
"ENSG00000270742.1",4.90030977084239,2.81336493789055,0.640513516269773,4.39235842246554,1.12127646263376e-05,0.00767113282793298
"ENSG00000204389.9",13415.8401903827,1.9888728961504,0.454718996511593,4.37385046898891,1.22074011642864e-05,0.00811961724663441
"ENSG00000165841.9",2868.65412143415,1.83297009487597,0.420244254410187,4.36167794238744,1.29068762831681e-05,0.00817404773683372
"ENSG00000279691.1",3.69007605407145,3.11170083701302,0.713598352926808,4.36057738117029,1.29719696805045e-05,0.00817404773683372
"ENSG00000228951.1",4.97129792492987,-2.32231708006591,0.536395514557441,-4.32948639024688,1.49457506264162e-05,0.00917630766024451
"ENSG00000172061.8",15.5414906950541,1.56648676348835,0.364601553384834,4.29643469410823,1.73567069833132e-05,0.0103901587178858
"ENSG00000277632.1",75.6279193313928,1.36690192320204,0.320092590549115,4.27033290854105,1.95181404452475e-05,0.0113990700722305
"ENSG00000221946.7",11.4743579672837,1.67170995907617,0.392434520429796,4.25984431044777,2.04569347065326e-05,0.0116628881320934
"ENSG00000243477.5",316.358094117767,0.757849043401279,0.178700230491589,4.24089572417731,2.22629553773258e-05,0.0123973596862806
"ENSG00000276564.1",52.2537556530311,1.47359574177114,0.349018240866921,4.22211669542227,2.42018745141245e-05,0.0129107697440208
"ENSG00000102802.9",51.6457458973161,1.55779871466117,0.36901147114415,4.22154549784344,2.42632966582141e-05,0.0129107697440208
"ENSG00000258884.1",11.2939719752401,-1.61987173110363,0.38419015795629,-4.21632802808011,2.48312487784114e-05,0.0129257446086753
"ENSG00000278743.1",10.5001523534672,1.38022120512507,0.328611041459764,4.20016685682202,2.66718348167538e-05,0.0135884486103653
"ENSG00000112149.9",215.056851361789,1.38173452060977,0.329560336536187,4.19266024283251,2.75702204031201e-05,0.013595442813769
"ENSG00000197406.7",96.8466825983722,2.36635079396611,0.564749259093247,4.19009101094791,2.78842590055008e-05,0.013595442813769
"ENSG00000127831.10",1185.47402622208,1.62912445977421,0.38918929266784,4.18594367950561,2.83983763408681e-05,0.013595442813769
"ENSG00000109846.7",719.473568219626,1.44832131576863,0.346362401518666,4.18152001896943,2.89566750261942e-05,0.013595442813769
"ENSG00000183196.8",16.2113078674487,2.32724727085069,0.564780930871685,4.12061941832704,3.77855153188253e-05,0.0173995031597937
"ENSG00000260325.1",152.486940487788,0.669701792327474,0.163377913225766,4.09909625545308,4.14766525542666e-05,0.0180548176226054
"ENSG00000226419.7",111.182025069109,0.730770234198813,0.178323923270851,4.09799325180204,4.16747427592708e-05,0.0180548176226054
"ENSG00000231784.8",6.9971409666786,1.37056492086098,0.334609055523212,4.0960186170631,4.20316144814094e-05,0.0180548176226054
"ENSG00000269119.1",4.79478009215906,-3.34038153261624,0.817597785552054,-4.08560491679998,4.39621295439535e-05,0.0180548176226054
"ENSG00000133116.7",24.8494231374647,1.57533561336572,0.385658092894832,4.08479853629134,4.41150753277486e-05,0.0180548176226054
"ENSG00000163734.4",99.3470026219674,1.595828848837,0.390754332365923,4.08396968799974,4.42728084845348e-05,0.0180548176226054
"ENSG00000151789.10",36.5502157690337,-1.63294834310967,0.400043812568106,-4.08192375886747,4.46644500293328e-05,0.0180548176226054
"ENSG00000283426.1",75.9875925950443,1.1858916511505,0.290734963337481,4.07894405797329,4.52407207081364e-05,0.0180548176226054
"ENSG00000214544.7",12.5431864411493,1.50021953772874,0.370715524301701,4.04682145576349,5.19178107305093e-05,0.0195573293200279
"ENSG00000272610.1",28.8864629815136,1.26943802824051,0.314015637903855,4.04259493799217,5.28628976209402e-05,0.0195573293200279
"ENSG00000248503.2",14.003838286629,1.11073368096026,0.275352602664105,4.03385938688659,5.4868158811464e-05,0.0195573293200279
"ENSG00000122861.15",143.2877800481,1.16848045944578,0.289716203101906,4.03318988353157,5.50247815377913e-05,0.0195573293200279
"ENSG00000245904.3",25.6295641968695,1.10238007415214,0.273383136655511,4.03236310636543,5.52187812047272e-05,0.0195573293200279
"ENSG00000133111.3",121.762136625663,0.592616841360814,0.146984866962536,4.03182214337659,5.5346066311888e-05,0.0195573293200279
"ENSG00000093009.9",88.3130666973552,-1.82788722503704,0.453794455193851,-4.02800696243898,5.62516782482015e-05,0.0195573293200279
"ENSG00000100884.9",45.0280306199684,2.22284841578771,0.551879745989735,4.02777676104289,5.63067679112982e-05,0.0195573293200279
"ENSG00000256377.5",8.50788632446715,-1.91233710034673,0.474811724658247,-4.02756924699609,5.63564720435133e-05,0.0195573293200279
"ENSG00000240457.3",2.57714370556977,3.85193200239376,0.96101740919964,4.00818129361647,6.11881420149543e-05,0.0203824605251747
"ENSG00000138131.3",761.888315241094,-1.80115667721117,0.449795464601495,-4.00439048180918,6.21775879284673e-05,0.0203824605251747
"ENSG00000104237.7",8.97007893418125,2.74534816083421,0.6855988606855,4.00430677216888,6.2199607113388e-05,0.0203824605251747
"ENSG00000188517.14",95.1695353113419,1.13770325601158,0.284264143499962,4.00227493346072,6.27363365443744e-05,0.0203824605251747
"ENSG00000266378.1",32.4646878860715,1.46791946854113,0.367022973926903,3.9995302006176,6.34683486019322e-05,0.0203824605251747
"ENSG00000250616.2",20.5740597383104,0.736864522750787,0.184301712085741,3.99814258050942,6.38414925616248e-05,0.0203824605251747
"ENSG00000232909.1",14.4078720180974,-1.2688130762538,0.31773004442118,-3.99336826507939,6.51412764867008e-05,0.0205237877036059
